,text,level
3882,وتسلطنا عليه في القرون الماضية,4
3883,وتحكمنا فيه في القرون الماضية,3
3884,قرون الحصان والحمار والبغل,3
3885,قرون لم تبرق فيها الكهربائية,3
3886,ولم يعتم بأفقها البخار,4
3887,ولم يظلم بأفقها البخار,3
3888,قد تمتعتم بلذة السلطة,3
3889,وذقتم حلاوة العز والاستبداد,5
3890,وذقتم حلاوة القوة والاستبداد,3
3891,فكنتم تجرون الشعب في العربات المقدسة العظيمة إلى حيث شئتم,3
3892,وكان إذ ذاك الله الحوذي,5
3893,وكان إذ ذاك الله السائق,3
3894,كنتم إذا نقمتم على الجمال تشنون عليهم الغارة,5
3895,كنتم إذا نقمتم على الجمال تبدأون عليهم الغارة,4
3896,كنتم إذا غضبتم على الجمال تبدأون عليهم الهجمة,3
3897,فتزحفون على معاقلهم بألوف من الحمير والبغال,5
3898,فتزحفون على مخابئهم بألوف من الحمير والبغال,3
3899,يقودهم حمار قصير أعمى يمتاز عن إخوانه بشهنقته الفصيحة,5
3900,يقودهم حمار قصير أعمى يمتاز عن إخوانه بصوته الفصيح,4
3901,يقودهم حمار قصير أعمى يمتاز عن إخوانه بصوته الواضح,3
3902,كان إذ ذاك الله الحوذي,5
3903,كان إذ ذاك الله السائق,3
3904,أما الآن فلا عربة ولا حوذي,5
3905,أما الآن فلا عربة ولا سائق,4
3906,أما حاليا فلا عربة ولا سائق,3
3907,فقد هجرنا الهناء,4
3908,فقد تركتنا الهناء,3
3909,وحرقتنا الكهربائية بشرارها,3
3910,وإذا كان قد بقي بعضنا في خدمتنا القديمة,3
3911,فلا يعامل قط كما كنا نعامل في الماضي,3
3912,فإذا وقفنا أمام العربة,3
3913,وشمسنا أو كبونا أو حرنا هز لنا الحوذي الظالم سوطه,5
3914,وشردنا أو تعثرنا أو وقفنا هز لنا السائق الظالم سوطه,3
3915,هذه هي نتيجة ضعفنا,3
3916,فالناس ينظرون إلينا,3
3917,ويجدوننا متخاصمين,5
3918,ويجدوننا في خصام,3
3919,فيزدرون بنا ويذلوننا,5
3920,فيستخفون بنا ويذلوننا,3
3921,وفي النهاية يطردوننا من بيوتهم وإسطبلاتهم,4
3922,وفي النهاية يطردوننا من بيوتهم وإصطبلاتهم,3
3923,فتأملوا يا أسيادي في هذه الحالة,3
3924,يوجد في جمعيتنا الآن خمسة آلاف حصان بطالين طردوا من مراكزهم,4
3925,يوجد في جمعيتنا حاليا خمسة آلاف حصان بطالين طردوا من مراكزهم,3
3926,لأن أصحابهم يفضلون خيل الكهربائية على خيل الله,3
3927,فمن أين يأكل هؤلاء المساكين,3
3928,فلو لم تكن الحروب قائمة أبدا على قدم وساق بين تابعي الأسد والبرابرة لكانوا يموتون جوعا,4
3929,فلو لم تكن الحروب واقعة أبدا على قدم وساق بين تابعي الأسد وسكان البربر لكانوا يموتون جوعا,3
3930,فيفسد الهواء من نتانتهم,3
3931,فقد بعثنا في الأسبوع الماضي ألفي حصان إلى الصين,3
3932,وألفي حصان إلى الترانسفال فتستخدمهم هنالك الدول البشرية لغاياتها الدنيئة,4
3933,وألفي حصان إلى الترانسفال فتستخدمهم هنالك الدول البشرية لأهدافها الدنيئة,3
3934,وهم لا يعبئون بذلك,5
3935,وهم لا يكترثون بذلك,3
3936,لأنهم يختالون مضطرين,4
3937,لأنهم يتمايلون مضطرين,3
3938,ويداهنون مكرهين,5
3939,ويجاملون مكرهين,4
3940,ويجاملون مجبرين,3
3941,من منا يموت شهيد مبدئه في هذه الأيام,4
3942,من منا يموت شهيد اعتقاداته في هذه الأيام,3
3943,فمن كان بأشد الحاجة إلى المال يخدم من يستأجره بأجرة كبيرة,3
3944,ونحن لا نلومهم بل يجب أن نلوم أنفسنا,3
3945,لأننا غافلون عن مصلحتنا,4
3946,لأننا ساهون عن مصلحتنا,3
3947,لاهون بالانقسام,4
3948,مشغولون بالانقسام,3
3949,تائهون في فيافي الأوهام ومهامه التخيلات,5
3950,تائهون في صحاري الأوهام وصحراء التخيلات,3
3951,وها أنا الآن ألقي عليكم سؤالا صغيرا هل تريدون أن تعيدوا سلطتكم,5
3952,وهذا أنا الآن ألقي عليكم سؤالا صغيرا هل تريدون أن تعيدوا سلطتكم,4
3953,وهذا أنا حاليا ألقي عليكم سؤالا صغيرا هل تريدون أن تعيدوا سلطتكم,3
3954,وتعززوا أنفسكم,4
3955,وتقووا أنفسكم,3
3956,هل لكم أقل مطمع في هذه الحياة,4
3957,هل لكم أقل طموح في هذه الحياة,3
3958,فإذا كان ذلك فعليكم بالاتحاد,3
3959,عليكم بالتحالف,4
3960,عليكم بالاتفاق,3
3961,ولننس اختلافاتنا الصغيرة,3
3962,ولنذكر أننا كلنا من طائفة واحدة,4
3963,ولنذكر أننا كلنا من فريق واحد,3
3964,ومن نوع حيواني واحد,3
3965,جمعياتنا مشتقة بعضها من البعض,4
3966,جمعياتنا مأخوذة بعضها من البعض,3
3967,والمرجع كله إلى أصل واحد نتبع معلما واحدا نعبده,4
3968,والأصل كله أصل واحد نتبع معلما واحدا نعبده,3
3969,ونحبه فوق كل شيء,3
3970,ولا يهم إن أحب الحمير الأم أكثر من الابن,4
3971,ولا فرق إن أحب الحمير الأم أكثر من الابن,3
3972,أو الأب أكثر من الابن,3
3973,فلا يجب أن نختلف ونتناقش على مسائل وهمية لا دخل لها في شرائعنا,3
3974,فهل قال لنا الأسد — له المجد — أن نعبده بطريقة مخصوصة,3
3975,هل أمرنا بأن نتخاصم بسبب دمه وجسده,3
3976,هل يهمه إن عبدناه رأسا أم بواسطة الصور والتماثيل,4
3977,هل يزعجه إن عبدناه رأسا أم من خلال الصور والتماثيل,3
3978,نعم قد حثنا لا بل قد أمرنا بمحبة بعضنا بعضا,3
3979,حتى إنه قال حبوا أعداءكم,3
3980,فلماذا إذن لا نعمل بقوله هذا,3
3981,ونهمل ما لم يقل لنا عنه شيئا,3
3982,نعم يا أسيادي قد تفكرت كثيرا في هذه الاختلافات,3
3983,ووجدت بعد الدرس المتواصل أن الأسد لم يقل لنا عنها في كتابه شيئا,3
3984,ولذلك تحققت أنه لا يريدها,3
3985,وأظن أنه يتألم إذا رآنا نقاتل بعضنا بعضا,3
3986,فالاختلافات هذه لم يولدها إلا مطامع من تقدمنا من القواد,4
3987,فالاختلافات هذه لم يولدها إلا رغبات من تقدمنا من القواد,3
3988,إنها والحق يقال بنت تلك المجامع الشريرة التي عقدها أجدادنا في الأجيال الأولى,5
3989,إنها والحق يقال بنت تلك الاجتماعات الشريرة التي عقدها أجدادنا في الأجيال الأولى,3
3990,ليقفوا كما كانوا يزعمون على تفسير حقيقي لأقوال الأسد التي لا يوجد في كتب الفلسفة والحكمة أبسط منها,4
3991,ليقفوا كما كانوا يعلنون على تفسير حقيقي لأقوال الأسد التي لا يوجد في كتب العلوم والحكمة أبسط منها,3
3992,وكلكم لا شك تعلمون ما كان لهذه المجامع من التأثير السيئ على العالم عموما وعلى جمعيتنا خصوصا,5
3993,وكلكم لا شك تعلمون ما كان لهذه الاجتماعات من التأثير السيئ على العالم عموما وعلى جمعيتنا خصوصا,4
3994,وكلكم لا شك تعلمون ما كان لهذه الاجتماعات من التأثير السيئ على العالم عامة وعلى جمعيتنا خصوصا,3
3995,,3
3996,تعلمنا شريعتنا نكران الذات,4
3997,تعلمنا شريعتنا إنكار النفس,3
3998,ونحن لا ننكر إلا قريبنا,4
3999,ونحن لا نتجاهل إلا قريبنا,3
4000,تعلمنا محبة العدو ونحن لا نحب إلا أنفسنا,3
4001,تعلمنا التقشف والابتعاد عن حطام الدنيا ونحن أكثر الحيوانات تمسكا بها,4
4002,تعلمنا الترك والابتعاد عن حطام الدنيا ونحن أكثر الحيوانات تمسكا بها,3
4003,ثم نفسر آيات الكتاب بصورة تساعدنا على مطامعنا,4
4004,ثم نفسر آيات الكتاب بصورة تساعدنا على طموحاتنا,3
4005,فنحن نعلم حق العلم أن أجدادنا ومعلمي الجمعية الأولين أخطئوا في مجامهم,5
4006,فنحن نعلم حق العلم أن أجدادنا ومعلمي الجمعية الأولين أخطئوا في اجتماعاتهم,3
4007,وقد ارتكبوا جرائم فظيعة في تفسير شيء واضح,3
4008,فأي مجمع عقد في الأجيال الأولى,5
4009,فأي اجتماع عقد في الأجيال الأولى,3
4010,ولم يحدث فيه الضرب والقتل والذبح,3
4011,إن تلك المجامع لم تكن إلا مجامع مهاترة,5
4012,إن تلك الاجتماعات لم تكن إلا اجتماعات جهل,3
4013,وسباب وتعيير,4
4014,وشتم وتعيير,3
4015,فيها كانت تدور المناقشات المنطقية,4
4016,فيها كانت تدور المناقشات الواقعية,3
4017,والجدالات اللاهوتية المبهمة التي لا يفهمها عاقل,5
4018,والمجادلات المعقدة المبهمة التي لا يفهمها عاقل,4
4019,والمجادلات المعقدة الغامضة التي لا يفهمها عاقل,3
4020,اسمعوا ما قاله أحد الحمير العلماء عن هذه المجامع الباطلة وأراني مضطرا إلى قول الحق عن هذه المجامع,5
4021,اسمعوا ما قاله أحد الحمير العلماء عن هذه الاجتماعات الباطلة وأراني مضطرا إلى قول الحق عن هذه الاجتماعات,4
4022,اسمعوا ما قاله أحد الحمير العلماء عن هذه الاجتماعات التي بلا فائدة وأراني مضطرا إلى قول الحق عن هذه الاجتماعات,3
4023,فأنا أتشاءم من كل مجمع أحبار,5
4024,فأنا أتشاءم من كل اجتماع تابعين,3
4025,لأنني لم أر حتى الآن نتيجة حسنة لواحد منها,4
4026,لأنني لم أر حتى هذا الوقت نتيجة حسنة لواحد منها,3
4027,ولم أحضر مجمعا واحدا كانت منافعه أكثر من أضراره,5
4028,ولم أحضر اجتماعا واحدا كانت منافعه أكثر من أضراره,3
4029,فعاقدو المجامع عوضا عن أن يقمعوا زعماء الشر كانوا يزيدونهم شرا وتمردا,5
4030,فعقدوا الاجتماعات عوضا عن أن يسيطروا على زعماء الشر كانوا يزيدونهم شرا وتمردا,4
4031,فعقدوا الاجتماعات عوضا عن أن يسيطروا على زعماء الشر كانوا يزيدونهم شرا وشغبا,3
4032,فالمناقشات المنطقية,4
4033,فالمناقشات الواقعية,3
4034,والجدالات اللاهوتية الفارغة كانت سائدة في كل اجتماعاتهم,5
4035,والمجادلات المعقدة الفارغة كانت سائدة في كل اجتماعاتهم,4
4036,والمجادلات المعقدة الفارغة كانت منتشرة في كل اجتماعاتهم,3
4037,وهذا كلام أحد أعضاء الجمعية الذي لا ريب في صحته,4
4038,وهذا كلام أحد أعضاء الجمعية الذي لا شك في صحته,3
4039,إذ لا نقدر أن نتهمه بالتعصب والتحزب لغايات ذاتية,5
4040,إذ لا نقدر أن نتهمه بالتعصب والانقسام لغايات ذاتية,4
4041,إذ لا نقدر أن نتهمه بالتعصب والانقسام لأهداف شخصية,3
4042,ومما يدلنا على ضعف أولئك الرؤساء وخمولهم ما نقرؤه في الملحق لوقائع المجمع الأول العظيم,5
4043,ومما يدلنا على ضعف أولئك الرؤساء وخمولهم ما نقرؤه في المكتوب لوقائع الاجتماع الأول العظيم,4
4044,ومما يدلنا على ضعف أولئك الرؤساء وخمولهم ما نقرؤه في المكتوب لأحداث الاجتماع الأول العظيم,3
4045,جاء فيه أن أعضاء المجلس لما لم يستطيعوا أن يميزوا الكتب الحقيقية من الكتب الكاذبة وضعوها جميعها على طاولة وخلطوها,4
4046,جاء فيه أن أعضاء الإجتماع لما لم يستطيعوا أن يميزوا الكتب الحقيقية من الكتب الكاذبة وضعوها جميعها على طاولة وخلطوها,3
4047,ثم أخذوا يتوسلون إلى الروح القدس طالبين أن تسقط الكتب الكاذبة على الأرض,3
4048,وتبقى الصحيحة على الطاولة بأعجوبة,4
4049,وتبقى الصحيحة على الطاولة بصعوبة,3
4050,وهكذا صار كما يزعمون,4
4051,وهكذا صار كما يصورون,3
4052,لا تظنوا أن إيماني في الروح القدس فاتر,4
4053,لا تظنوا أن إيماني في الروح القدس ضعيف,3
4054,كلا غير أن الله — عز وجل — أعطانا عقولا نستنير بها,5
4055,كلا غير أن الله — عز وجل — أعطانا عقولا نتفكر بها,4
4056,كلا غير أن الله — علا وجل — أعطانا عقولا نتفكر بها,3
4057,ونميز بين الحقيقة والوهم,3
4058,فهل تريدون أن يقال عن مجمعنا هذا ما قاله ذاك الحمار عن المجامع القديمة,5
4059,فهل تريدون أن يقال عن اجتماعنا هذا ما قاله ذاك الحمار عن الاجتماعات القديمة,3
4060,كان أجدادنا يجتمعون ليقاوم بعضهم بعضا,3
4061,وينتقموا من الذين كانوا يظنونهم منشقين,5
4062,وينتقموا من الذين كانوا يظنونهم منفصلين,3
4063,وقد فاتهم — برد الله ثراهم — أن في مقاومة المنشقين مقاومة لأنفسهم,5
4064,وقد فاتهم — برد الله ثراهم — أن في مقاومة المنفصلين مقاومة لأنفسهم,4
4065,وقد فاتهم — برد الله تربتهم — أن في صراع المنفصلين مجاهدة لأنفسهم,3
4066,أما نحن فنجتمع الآن لنقاوم قوات الشر الحقيقية,4
4067,أما نحن فنجتمع في الوقت الحاضر لنقاوم قوات الشر الحقيقية,3
4068,القوات التي ظهرت نتائجها,3
4069,وأثرت كثيرا في مصالحنا,3
4070,فصرنا نشعر بالتقهقر,4
4071,فصرنا نشعر بالانهزام,3
4072,ونحس بالسقوط,3
4073,نعم إن البرهان على تقدم أعدائنا برهان حسي لا يجهله إلا كل متغفل خامل,5
4074,نعم إن البرهان على تقدم أعدائنا برهان حسي لا يجهله إلا كل أبله خامل,4
4075,نعم إن البرهان على تقدم أعدائنا برهان واضح لا يعرفه إلا كل أبله كسول,3
4076,ولا حاجة للقول إن اجتماعنا هذا على جانب عظيم من الأهمية,3
4077,وسيدون التاريخ أعمالنا بماء الذهب إن شاء الله,3
4078,وإذا كانت حيوانات هذه الجيل لا تقدر مشروعنا حق قدره,3
4079,فهذا لا يحولنا عن القيام به تاركين الحكم لذريتنا,4
4080,فهذا لا يمنعنا عن فعله تاركين الحكم أحفادنا,3
4081,العالم كله يتقدم وليس من الواجب أن نبقى نحن متشبثين بأغلاط أجدادنا الغير المقصودة,5
4082,العالم كله يتقدم وليس من الواجب أن نبقى نحن مصرين بأغلاط أجدادنا الغير المقصودة,4
4083,العالم كله يتقدم وليس من الواجب أن نبقى نحن مصرين بأغلاط أجدادنا الغير المتعمدة,3
4084,فهم أورثونا الشقاق والخصام,4
4085,فهم نقلوا لنا التفكك والخصام,3
4086,ونحن نورث أبناءنا المحبة والوئام,4
4087,ونحن ننقل لأبناءنا المحبة والإتفاق,3
4088,أضاع أولئك المساكين أوقاتهم في المناقشة الفارغة,3
4089,ونحن نصرف هممنا إلى القيام بالمشاريع المفيدة,4
4090,ونحن نصرف نوينا عمل المشاريع المفيدة,3
4091,فكيف نستطيع أن نرهب أعداءنا ونسود عليهم,4
4092,فكيف نستطيع أن نرعب أعداءنا ونكون أسياد عليهم,3
4093,إذا كان لا يمكننا أن نجمع كلمتنا,3
4094,ونرتبط مع بعضنا برابطة الشريعة والجنس,4
4095,ونرتبط مع بعضنا برباط الشريعة والجنس,3
4096,قد أخطأ أجدادنا,3
4097,فهل من الواجب علينا أن نقتفي أثرهم,4
4098,فهل من الواجب علينا أن نتبع أثرهم,3
4099,ونرتكب الجرائم التي ارتكبوها,3
4100,فلنبتعد عن المناقشات المنطقية,4
4101,فلنبتعد عن المناقشات الواقعية,3
4102,والجدالات اللاهوتية,5
4103,والمجادلات المعقدة,3
4104,ولننظر في أمر واحد فقط,3
4105,هل يجدينا انقسامنا على أنفسنا نفعا,4
4106,هل يقدم انقسامنا على أنفسنا نفعا,3
4107,هل نستطيع الوقوف أمام القوات الكهربائية والبخارية ونحن منقسمون,4
4108,هل نستطيع الوقوف أمام القوات الكهربائية والعاملة بالبخار ونحن منقسمون,3
4109,ألا نسحقها سحقا إذا جمعنا قوتنا المالية والعلمية,4
4110,ألا نسحقها سحقا إذا جمعنا ثروتنا وقوتنا والعلمية,3
4111,وضممنا قدرتنا,4
4112,وجمعنا قدرتنا,3
4113,وجعلنا من جمعياتنا كلها جمعية واحدة عمومية,3
4114,اطردوا من عقولكم كل التعصب والأميال الدنيئة,4
4115,اطردوا من عقولكم كل التعصب والرغبات الدنيئة,3
4116,واذكروا أنكم كلكم من تبعة الأسد العظيم,5
4117,وتذكروا أنكم كلكم من تبعة الأسد العظيم,3
4118,وأبناء الإله الواحد القدير,3
4119,فلا حمار ولا بغل ولا جواد ولا كدبش بيننا,5
4120,فلا حمار ولا بغل ولا جواد ولا كبش بيننا,3
4121,بل كلنا حيوانات نتحد بالمذهب,5
4122,بل كلنا حيوانات نتحد بالمسار,3
4123,ونشترك بالجنسية,3
4124,ونرفع رءوسنا تحت سماء واحدة,3
4125,ويجري في عروقنا الدم الذي يجري في عروق إخواننا,3
4126,وتشرق على مراعينا شمس واحدة,3
4127,ما بالنا إذن لا ننظر إلى سوء حالتنا,3
4128,ونعمل على تحسينها,3
4129,نحن كلنا نعبد إلها واحدا,3
4130,ونتنفس هواء واحدا,3
4131,فلماذا إذن لا نتخذ الوسائط الفعالة لملافاة أسباب سقوطنا,5
4132,فلماذا إذن لا نتخذ الوسائط الفعالة لتجنب أسباب سقوطنا,4
4133,فلماذا إذن لا نتخذ الوسائل المؤثرة لتجنب أسباب سقوطنا,3
4134,كونوا متيقظين,4
4135,كونوا مستعدين,3
4136,واصرفوا عنكم الضربة قبل أن تنزل عليكم درهم وقاية أفضل من قنطار دواء,5
4137,وابعدوا عنكم الضربة قبل أن تنزل عليكم درهم حماية أفضل من كثير من الدواء,4
4138,واصرفوا عنكم الضربة قبل أن تنزل عليكم درهم حماية أفضل من كثير من الدواء,3
4139,إن القوات الكهربائية تضر بصالحنا,4
4140,إن القوات الكهربائية تضر بمصلحتنا,3
4141,فيجب علينا أن نحطمها تحطيما,3
4142,يجب أن نبقيها في قلب الأرض,3
4143,وكيف يتسنى لنا إتمام ذلك,4
4144,وكيف يمكن لنا إتمام ذلك,3
4145,بالاتحاد,3
4146,إن التمدن الحديث يحفر تحت قصورنا الشائقة,4
4147,إن التطور الحديث يحفر تحت قصورنا العالية,3
4148,ولا بد أن تصبح رءوسنا يوما بين الأنقاض إذا لم نوقفه عن متابعة عمله,4
4149,ولا مفر أن تصبح رءوسنا يوما بين الحطام إذا لم نوقفه عن متابعة عمله,3
4150,ولا نستطيع قتل التمدن الحديث إلا بإيجاد تمدن جديد مناقض له,4
4151,ولا نستطيع قتل التطور الحديث إلا بإيجاد التطور جديد معاكس له,3
4152,ولا نقدر أن ننشئ هذا التمدن إلا بجمع كلمتنا,4
4153,ولا نقدر أن ننشئ هذا التطور إلا بجمع كلمتنا,3
4154,إن النجاح المادي الذي امتاز به هذا الجيل الشرير قائم بسلبنا كل خيراتنا,4
4155,إن النجاح المرئي الذي امتاز به هذا الجيل الشرير واقف على سرقة كل ثرواتنا,3
4156,ووضعها بيد الأفراد القليلين,3
4157,إذن يجب علينا إيقاف هذا النجاح وقتله في طريقه,3
4158,وذلك لا يتيسر لنا إلا إذا جعلنا جمعياتنا هذه جمعية واحدة يترأسها حيوان واحد,4
4159,وذلك لا يتيسر لنا إلا إذا جعلنا جمعياتنا هذه جمعية واحدة يقودها حيوان واحد,3
4160,هذه خلاصة كلامي أكررها بعبارة بسيطة حتى لا يحصل سوء تفاهم,3
4161,نحن ضد القوات الكهربائية,3
4162,والبخارية,4
4163,والعاملة بالبخار,3
4164,والهواء المضغوط معا,3
4165,نحن ضد التمدن الحديث بكل مظاهره,4
4166,نحن ضد التطور الحديث بكل مظاهره,3
4167,الحصان يخطب نحن ضد التمدن الحديث,4
4168,الحصان يخطب نحن ضد التطور الحديث,3
4169,نحن ضد الاختراعات الحديثة,3
4170,والمبادئ الجديدة الخبيثة,4
4171,والأفكار الجديدة الخبيثة,3
4172,نحن ضد النجاح المادي الذي مد يده إلى ذخائرنا,4
4173,نحن ضد النجاح الواقف على المادة الذي مد يده إلى ذخائرنا,3
4174,وسلبنا كل نفيس عندنا,4
4175,وسرق منا كل نفيس عندنا,3
4176,وأنتم تعلمون ما لعدونا من القوة ومنعة الجانب,5
4177,وأنتم تعلمون ما لعدونا من القوة وصلابة الجانب,3
4178,ولكن لا بد من إبادته,4
4179,ولكن لا مفر من إزالة,3
4180,ولذة النصر تزداد كلما ازدادت قوة العدو,4
4181,ولذة الفوز تزداد كلما ازدادت قوة العدو,3
4182,ولكن كيف ننتصر بالاتحاد,3
4183,بالاتحاد,3
4184,بالاتحاد,3
4185,بالاتحاد القوة,3
4186,وبالانقسام الضعف,3
4187,بالاتحاد التقدم والنجاح,3
4188,وبالانقسام التقهقر والانحطاط,4
4189,وبالانقسام الانسحاب والضعف,3
4190,بالاتحاد المجد والعلى,3
4191,والانقسام الذل والخمول,3
4192,بالاتحاد السؤدد والعز والسلطة,5
4193,بالاتحاد السيادة والقوة والسلطة,3
4194,وبالانقسام الحقاة والعبودية والهوان,4
4195,وبالانقسام والتفرق والإكراه والتحاقر,3
4196,بالاتحاد العمل المفيد,3
4197,وبالانقسام العطلة المضرة,3
4198,بالاتحاد الحياة,3
4199,وبالانقسام الموت,3
4200,بالاتحاد نبقى سائدين,4
4201,بالاتحاد نبقى مسيطرين,3
4202,ونستظهر على العدو,5
4203,ونظهر على العدو,3
4204,وبالانقسام تفقد سلطتنا,3
4205,وتضمحل جمعيتنا,4
4206,وتختفي جمعيتنا,3
4207,وتخلفها شياطين الشر والرذيلة,4
4208,وتتبعها شياطين الشر والخباثة,3
4209,فاختاروا إذا أحد الأمرين,3
4210,إما أن ننقسم ونموت,3
4211,وإما أن نتحد ونحيا,4
4212,وإما أن نتحد ونعيش,3
4213,فصرخ الجميع بصوت واحد الاتحاد والحياة,3
4214,الاتحاد والمحبة,3
4215,وأخذوا يلبطون بأرجلهم دلالة الاستحسان والإعجاب بما جاء به ذلك البحر الفهامة من بلاغة المعاني,5
4216,وأخذوا يركلون بأرجلهم دلالة الاستحسان والإعجاب بما جاء به ذلك البحر الفهيم من بلاغة المعاني,4
4217,وأخذوا يركلون بأرجلهم دليل الاستحسان والإعجاب بما جاء به ذلك البحر الفهيم من قوة المعاني,3
4218,وفصاحة الكلام,5
4219,وضوح الكلام,3
4220,وسداد البرهان,4
4221,وصحة البرهان,3
4222,وقوة الحجة,3
4223,ثم قام البغل وشكر أولا صاحب الدعوة,3
4224,وأثنى عليه كثيرا,3
4225,وأبدى شيئا كثيرا من التبجيل والمجاملة,4
4226,وأبدى شيئا كثيرا من الاحترام والمدح,3
4227,وهما من أهم أدبيات معشر الحيوانات,4
4228,وهما من أهم أدبيات جمع الحيوانات,3
4229,ثم قال ما كنت أحسب أن الحصان المحترم يدعونا إلى إسطبله العامر ليحثنا على الاتحاد,4
4230,ثم قال ما كنت أحسب أن الحصان المحترم يدعونا إلى حظيرته المملوءة ليحثنا على الاتحاد,3
4231,ويندد بالشقاق والعناد,4
4232,وانكر الخصام والعناد,3
4233,ما كنت أحسب أن هذا الفاضل يبدأ بمشروع شريف كهذا,4
4234,ما كنت أحسب أن هذا المحترم يبدأ بمشروع شريف كهذا,3
4235,ويكون أول من ضحى لأجله حقوقه ومصلحته,3
4236,ما كنت أحسب أن بعد هذا الفراق الطويل ( وكانت الدموع تتساقط على وجنتيه,3
4237,فأخذ منديله,3
4238,ومسح عينيه,3
4239,وتابع كلامه بصوت منخفض ) الفراق الطويل الذي ولد في قلوبنا الضغينة والبغضاء والقسوة,4
4240,وتابع كلامه بصوت منخفض ) الفراق الطويل الذي ولد في قلوبنا الكرة والبغضاء والقسوة,3
4241,يقوم حصان فاضل عالم بدعوة جديدة,4
4242,يقوم حصان محترم عالم بدعوة جديدة,3
4243,لربما حسبها البعض شذوذا,4
4244,لربما حسبها البعض انحرافا,3
4245,ورماها آخرون بباطل الكلام,3
4246,ولكن سواء عدت شذوذا أو لم تعد فهي أشرف وأجل دعوة يقوم بها الحيوانات بعد أن حل فيهم الانشقاق,4
4247,ولكن سواء عدت انحرافا أو لم تعد فهي أشرف وأعظم دعوة يقوم بها الحيوانات بعد أن حل فيهم التفكك,3
4248,ومن منا لا يريد أن يتمتع بالعز الذي حصل عليه أجدادنا وأسلافنا,5
4249,ومن منا لا يريد أن يتمتع بالقوة التي حصل عليها أجدادنا وأسلافنا,4
4250,ومن منا لا يريد أن يتمتع بالقوة التي حصل عليها أجدادنا وقدماؤنا,3
4251,من منا لا يريد أن يسترد ذاك المجد الغابر الذي مرت عليه دواليب الكهربائية في هذا الجيل,5
4252,من منا لا يريد أن يسترد ذاك المجد السابق الذي مرت عليه دواليب الكهربائية في هذا الجيل,3
4253,فكادت تحطمه تحطيما,4
4254,فأوشكت تحطمه تحطيما,3
4255,من منا لا يريد أن يدخل هيكل ذاك السلطان العظيم الذي سود وجهه دخان المراكب البخارية,4
4256,من منا لا يريد أن يدخل هيكل ذاك السلطان العظيم الذي سود وجهه دخان المراكب العاملة بالبخار,3
4257,,3
4258,تعلمون — رعاكم الله — أن البغال في البلاد الشمالية التي أنا منها لا يزالون على شيء قليل من السؤدد والعز,5
4259,تعلمون — رعاكم الله — أن البغال في البلاد الشمالية التي أنا منها لا يزالون على شيء قليل من السيادة والقوة,3
4260,غير أن هذا القليل سيزول قريبا,3
4261,وتمسي البغال والخيل في حالة واحدة تشملها التعاسة والذل والهوان,4
4262,وتمسي البغال والخيل في حالة واحدة تشملها التعاسة والذل والضعف,3
4263,إن جمعيتنا البغلية يتناقص عدد أعضائها يوما فيوما,3
4264,وذلك لأن الحالة السائدة على الخيل في هذه البلاد تحكم الآن بنوع ما على البغال في بلادنا,5
4265,وذلك لأن الحالة السائدة على الخيل في هذه البلاد تحكم الآن بعض الشيء على البغال في بلادنا,4
4266,وذلك لأن الحالة المسيطرة على الخيل في هذه البلاد تحكم حاليا بعض الشيء على البغال في بلادنا,3
4267,فالتجارة المتبادلة بين الأمتين تمهد طرق الترقي الحديث,4
4268,فالتجارة المشتركة بين الأمتين تسهل طرق التطور الحديث,3
4269,والاختراعات العلمية,3
4270,والقوات الكهربائية أخذت تظهر الآن أمامنا,4
4271,والقوات الكهربائية أخذت تظهر في الوقت الحاضر أمامنا,3
4272,وصرنا نشعر بشيء من سوء تأثيرها علينا,3
4273,ولو لم يكن لنا مستعمرات عديدة يلزمها للقيام بشئونها وتدبيرها بغال كثيرة لكانت جمعيتنا الآن في ظلمة الموت والنسيان,4
4274,ولو لم يكن لنا مجموعات عديدة يلزمها للعمل بشئونها وتدبيرها بغال كثيرة لكانت جمعيتنا حاليا في ظلمة الموت والنسيان,3
4275,ولكن لا يزال الملك شاملنا بأنظاره,4
4276,ولكن لا يزال الملك تابعنا بأنظاره,3
4277,وحامينا بتاجه وسلطانه,3
4278,ومع ذلك فنحن في رأيي لم نحسن قط تدبير الجمعية,3
4279,إذ إننا لم نجتهد في أن نوسع نطاقها,4
4280,إذ إننا لم نجتهد في أن نوسع حدودها,3
4281,ونزيد أعضاءها,3
4282,بليتنا الكبرى هي من مجلسنا الذي أقمناه لتدبير شئون الجمعية,4
4283,مصيبتنا الكبرى هي من اجتماعنا الذي أقمناه لتدبير شئون الجمعية,3
4284,فهو — والحق يقال — مجلس جمع دببة الغباوة والطيش,4
4285,فهو — والحق يقال — اجتماع جمع دببة الغباوة والطيش,3
4286,والتعصب والظلم,3
4287,وكل حكم يصدره هذا المجلس يضعف من قوتنا,4
4288,وكل حكم يطلقه هذا الإجتماع يضعف من قوتنا,3
4289,ويجعلنا ممقوتين بين الناس والحيوانات,5
4290,ويجعلنا مكروهين بين الناس والحيوانات,3
4291,وقد سمعتم ولا شك بالحكم الأخير الذي أصدره حكم لا يدل على شيء من الحكمة والرزانة والسياسة,4
4292,وقد سمعتم ولا شك بالحكم الأخير الذي أصدره حكم لا يدل على شيء من الحكمة والوقار والقيادة,3
